trip_id,rider_id,zone,distance_km,duration_min,fare_amount,payment_mode,ride_date,surge_flag,Z_Score_Fare_Amount,Z_Score_Distance,New_Duration,Year_x,Month_x,Day_x,Weekday_x,payment_mode_Credit Card,payment_mode_UPI,payment_mode_Wallet,fare_amount_log,distance_km_log,duration_min_sqrt,duration_min_restored,fare_amount_standard,distance_km_standard,duration_min_standard,fare_amount_minmax,distance_km_minmax,duration_min_minmax,is_peak_hour,surge_flag_check,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,Win_Total_Rides,Year_y,Month_y,Day_y,Weekday_y,gender_encoded,ride_frequency_group,avg_ride_distance,avg_ride_fare,days_since_signup,ride_cancellation_rate,zone_name,population_density,traffic_index,avg_speed_kmph,zone_type,zone_name_Zone_10,zone_name_Zone_2,zone_name_Zone_3,zone_name_Zone_4,zone_name_Zone_5,zone_name_Zone_6,zone_name_Zone_7,zone_name_Zone_8,zone_name_Zone_9,traffic_level,traffic_level_encoded
T00011,R0191,Zone_10,13.88,88.3,172.04,Credit Card,2023-09-09,0,0.4377777611469969,1.2654911264022575,88.3,2023,9,9,5,1.0,0.0,0.0,5.153522781644804,2.700018029404946,9.396807968666806,88.0,0.4378872466460569,1.265807617873106,0.7343733630540581,0.36393102279467837,0.5363777089783283,0.43862007168458783,False,0,Meera Gupta,33,Other,Surat,2020-08-14,87,6,4.56,87.0,2020,8,14,4,2,High,7.5609090909090915,120.43727272727273,2222,0.06896551724137931,Zone_10,2440,1.54,35.4,Industrial,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,1.0
T00012,R0199,Zone_1,11.4,64.9,139.35,Wallet,2023-12-15,0,0.05553688635470569,0.7083009944418417,64.9,2023,12,15,4,0.0,0.0,1.0,4.9441393028078915,2.517696472610991,8.056053624449133,65.0,0.05555077578504781,0.7084781361213505,0.08386030684714577,0.294678417083298,0.4404024767801858,0.3221326164874552,False,0,Aarav Das,29,Male,Ahmedabad,2021-08-03,344,27,3.91,344.0,2021,8,3,1,1,High,8.515,160.05,1868,0.07848837209302326,Zone_1,4921,2.43,30.9,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00013,R0248,Zone_6,2.98,18.82,37.95,Wallet,2023-12-12,1,-1.1301230923524932,-1.183449372939892,18.82,2023,12,12,1,0.0,0.0,1.0,3.6622787723167574,1.3812818192963463,4.338202392696772,19.0,-1.1304057291187857,-1.1837453462777545,-1.1971500192218514,0.07986611304126769,0.11455108359133129,0.09274193548387097,False,1,Vivaan Ghosh,18,Female,Chennai,2021-10-24,104,12,3.65,104.0,2021,10,24,6,0,High,8.245714285714286,134.23714285714286,1786,0.11538461538461539,Zone_6,14627,0.54,37.6,Mixed,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Low,0.0
T00014,R0300,Zone_2,11.2,70.93,249.44,Cash,2024-08-10,0,1.3428081590950955,0.6633663063805176,70.93,2024,8,10,5,0.0,0.0,0.0,5.52321937087711,2.501435951739211,8.421995013059554,71.0,1.3431439870756106,0.6635322101736281,0.25149251748508095,0.5279001779510212,0.4326625386996904,0.3521505376344086,False,1,Saanvi Iyer,38,Female,Kolkata,2023-07-08,291,7,3.67,291.0,2023,7,8,5,0,High,9.146666666666667,166.12833333333333,1164,0.024054982817869417,Zone_2,6371,0.91,58.4,Residential,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0
T00015,R0270,Zone_10,14.87,91.83,265.53,Credit Card,2023-08-24,0,1.5309469071956754,1.48791783230581,91.83,2023,8,24,3,1.0,0.0,0.0,5.585486807626805,2.7644305345383176,9.582797086446107,92.0,1.5313297875085754,1.4882899513143306,0.8325063155502291,0.5619862723498008,0.5746904024767802,0.45619275189167663,False,0,Aadhya Reddy,35,Male,Hyderabad,2022-01-02,455,64,3.08,455.0,2022,1,2,6,1,High,7.38,137.69125,1716,0.14065934065934066,Zone_10,2440,1.54,35.4,Industrial,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,1.0
T00016,R0216,Zone_2,7.35,63.51,145.73,Cash,2024-08-04,1,0.13013758323983313,-0.20162643879996628,63.51,2024,8,4,6,0.0,0.0,0.0,4.988594163219376,2.122261538862764,7.969316156358712,64.0,0.13017012984112722,-0.2016768643200244,0.045218719320324674,0.3081942208287433,0.2836687306501548,0.3152130625248905,False,1,Ishaan Ghosh,44,Female,Chennai,2019-08-01,335,24,3.4,335.0,2019,8,1,3,0,High,5.928,99.776,2601,0.07164179104477612,Zone_2,6371,0.91,58.4,Residential,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0
T00017,R0168,Zone_3,6.76,56.32,83.57,Cash,2023-12-03,1,-0.5966930309262367,-0.33418376858087157,56.32,2023,12,3,6,0.0,0.0,0.0,4.437579593794131,2.048982334195127,7.504665215717488,56.0,-0.5968422601472584,-0.33426734586580487,-0.154661147095389,0.17651046521481228,0.2608359133126935,0.2794205495818399,False,1,Diya Das,23,Male,Pune,2019-10-08,471,74,4.03,471.0,2019,10,8,1,1,High,7.004,113.862,2533,0.15711252653927812,Zone_3,12971,2.11,38.0,Business,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00018,R0126,Zone_6,4.65,39.61,69.81,UPI,2024-01-19,0,-0.7575873238947874,-0.8082447276278379,39.61,2024,1,19,4,0.0,1.0,0.0,4.260000233663683,1.7316555451583497,6.293647591023825,40.0,-0.7577767917791789,-0.8084468646142741,-0.6191941885149407,0.14736039318701805,0.1791795665634675,0.19623655913978494,False,1,Diya Reddy,29,Female,Surat,2022-09-25,411,20,3.65,411.0,2022,9,25,6,0,High,5.95,69.15333333333332,1450,0.04866180048661801,Zone_6,14627,0.54,37.6,Mixed,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Low,0.0
T00019,R0255,Zone_1,7.93,62.56,100.85,Credit Card,2023-05-26,1,-0.39463973277968445,-0.07131584342212713,62.56,2023,5,26,4,1.0,0.0,0.0,4.623501142672815,2.189416394888408,7.909487973314076,63.0,-0.3947384297257766,-0.07133367907162998,0.018809001226454413,0.2131175324125074,0.3061145510835913,0.31048387096774194,False,1,Reyansh Sharma,37,Female,Bengaluru,2021-07-06,475,42,3.12,475.0,2021,7,6,1,0,High,9.0025,157.7775,1896,0.08842105263157894,Zone_1,4921,2.43,30.9,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00020,R0061,Zone_2,11.43,81.48,227.77,UPI,2023-06-19,0,1.0894230334680246,0.7150411976510401,81.48,2023,6,19,0,0.0,1.0,0.0,5.432717132027692,2.5201129055226197,9.026627277117406,81.0,1.089695491402375,0.7152200250135087,0.5447793868433256,0.481993051436319,0.44156346749226005,0.40466945440063723,False,0,Meera Reddy,25,Male,Mumbai,2020-08-20,168,25,3.69,168.0,2020,8,20,3,1,High,8.6175,149.185,2216,0.1488095238095238,Zone_2,6371,0.91,58.4,Residential,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0
T00021,R0289,Zone_4,3.91,32.07,79.0,Cash,2024-08-15,0,-0.6501295802624486,-0.9745030734547362,32.07,2024,8,15,3,0.0,0.0,0.0,4.382026634673881,1.5912739418064292,5.6630380539071075,32.0,-0.6502921736325691,-0.9747467906208462,-0.8288039510705014,0.1668290822811626,0.1505417956656347,0.15870171246515333,False,1,Aarav Gupta,21,Other,Chennai,2021-09-30,322,14,4.17,322.0,2021,9,30,3,2,High,8.26625,154.31,1810,0.043478260869565216,Zone_4,4038,2.46,48.2,Business,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00022,R0112,Zone_10,1.27,9.05,17.63,Credit Card,2024-03-28,0,-1.3677228040618647,-1.567640955864211,9.05,2024,3,28,3,1.0,0.0,0.0,2.924773184613497,0.8197798314933114,3.0083217912982647,9.0,-1.3680648630403431,-1.5680330131307796,-1.4687531200398658,0.036818913651385475,0.04837461300309598,0.044105933890880133,False,1,Meera Nair,41,Female,Delhi,2020-11-13,311,11,3.24,311.0,2020,11,13,4,0,High,8.953,115.027,2131,0.03536977491961415,Zone_10,2440,1.54,35.4,Industrial,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,1.0
T00023,R0153,Zone_3,6.12,47.77,118.69,UPI,2024-02-26,0,-0.1860384110820865,-0.4779747703771078,47.77,2024,2,26,0,0.0,1.0,0.0,4.784905066885279,1.9629077254238845,6.911584478250989,48.0,-0.18608493813322832,-0.4780943088985159,-0.39234860994022236,0.25091093975086853,0.23606811145510836,0.23685782556750298,False,1,Aadhya Ghosh,20,Male,Mumbai,2020-05-04,76,14,4.54,76.0,2020,5,4,0,1,High,5.768,92.19,2324,0.18421052631578946,Zone_3,12971,2.11,38.0,Business,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00024,R0214,Zone_3,1.1,10.71,13.4,Cash,2023-01-10,1,-1.4171837676706562,-1.6058354407163362,10.71,2023,1,10,1,0.0,0.0,0.0,2.667228206581955,0.7419373447293773,3.2726136343907144,11.0,-1.4175381965289349,-1.6062370501863434,-1.4226056126337343,0.027857808660283027,0.041795665634674926,0.052369573874950226,False,1,Aarav Kumar,20,Female,Kolkata,2022-09-14,210,2,4.53,210.0,2022,9,14,2,0,High,6.793333333333333,113.61500000000001,1461,0.009523809523809525,Zone_3,12971,2.11,38.0,Business,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00025,R0272,Zone_2,10.62,56.33,170.34,UPI,2023-01-15,0,0.4178998325098941,0.5330557110026785,56.33,2023,1,15,6,0.0,1.0,0.0,5.143649886535898,2.4527277514237653,7.505331438384317,56.0,0.41800434666246217,0.5331890249252336,-0.154383150062822,0.3603296330819422,0.41021671826625383,0.2794703305455994,False,1,Kavya Ghosh,21,Male,Kolkata,2020-01-15,432,4,4.79,432.0,2020,1,15,2,1,High,5.755714285714285,98.82285714285715,2434,0.009259259259259259,Zone_2,6371,0.91,58.4,Residential,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0
T00026,R0045,Zone_3,5.87,48.76,86.71,Credit Card,2024-02-14,1,-0.5599773274435877,-0.5341431304537626,48.76,2024,2,14,2,1.0,0.0,0.0,4.47403591796329,1.927164106234258,6.982836100038436,49.0,-0.5601173742952067,-0.5342767163331686,-0.3648269037160839,0.18316244386068975,0.22639318885448917,0.24178614097968934,False,1,Saanvi Iyer,34,Other,Ahmedabad,2023-07-12,100,16,4.88,100.0,2023,7,12,2,2,High,9.725555555555555,169.98333333333332,1160,0.16,Zone_3,12971,2.11,38.0,Business,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00027,R0096,Zone_9,0.78,5.31,10.51,UPI,2023-01-12,0,-1.4509762463537312,-1.6777309416144544,5.31,2023,1,12,3,0.0,1.0,0.0,2.4432162227337915,0.5766133643039938,2.3043437243605824,5.0,-1.451339126501046,-1.6781505317026988,-1.572724010219945,0.021735446148631474,0.029411764705882356,0.02548785344484269,False,1,Reyansh Das,40,Female,Kolkata,2019-12-28,121,3,4.46,121.0,2019,12,28,5,0,High,5.482,70.99,2452,0.024793388429752067,Zone_9,11037,1.83,56.1,Mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,1.0
T00028,R0191,Zone_1,6.26,58.43,134.46,UPI,2023-05-14,0,-0.0016413907249608487,-0.4465204887341812,58.43,2023,5,14,6,0.0,1.0,0.0,4.908676393786758,1.9823798288367047,7.643951857514541,58.0,-0.001641801226586614,-0.4466321607351104,-0.09600377322374005,0.28431912549783916,0.24148606811145512,0.2899243329350856,False,1,Meera Gupta,33,Other,Surat,2020-08-14,87,6,4.56,87.0,2020,8,14,4,2,High,7.5609090909090915,120.43727272727273,2222,0.06896551724137931,Zone_1,4921,2.43,30.9,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00029,R0197,Zone_6,7.04,42.69,72.84,Credit Card,2024-06-13,1,-0.7221578393239511,-0.27127520529501814,42.69,2024,6,13,3,1.0,0.0,0.0,4.301900590194597,2.0844290831908747,6.5337584895678535,43.0,-0.722338446514301,-0.27134304953899374,-0.5335711024842873,0.15377934073383612,0.271671826625387,0.2115690959776981,False,1,Saanvi Das,29,Female,Bengaluru,2020-10-08,475,87,3.87,475.0,2020,10,8,3,0,High,7.108,96.998,2167,0.1831578947368421,Zone_6,14627,0.54,37.6,Mixed,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Low,0.0
T00030,R0284,Zone_1,10.25,88.43,216.17,Cash,2024-03-15,0,0.9537854027677926,0.4499265380892295,88.43,2024,3,15,4,0.0,0.0,0.0,5.38068045697316,2.4203681286504293,9.403722667114339,88.0,0.9540239385731395,0.4500390619219477,0.7379873244774301,0.45741886280823657,0.3958978328173375,0.4392672242134608,False,1,Vivaan Das,28,Female,Surat,2019-07-31,135,19,4.95,135.0,2019,7,31,2,0,High,8.70142857142857,140.90428571428572,2602,0.14074074074074075,Zone_1,4921,2.43,30.9,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00031,R0251,Zone_1,7.27,44.39,170.59,Credit Card,2023-04-08,1,0.42082305730946806,-0.21960031402449584,44.39,2023,4,8,5,1.0,0.0,0.0,5.14510791029753,2.1126345090356,6.662582082045969,44.0,0.4209283025424026,-0.2196552346991133,-0.48631160694788755,0.36085924921616813,0.2805727554179567,0.22003185981680604,False,1,Vivaan Iyer,46,Female,Mumbai,2020-01-13,213,26,4.48,213.0,2020,1,13,0,0,High,7.6819999999999995,152.516,2436,0.12206572769953052,Zone_1,4921,2.43,30.9,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00032,R0228,Zone_5,17.34,154.38,192.42,UPI,2023-11-30,1,0.6760790468082662,2.0428612298631594,154.38,2023,11,30,3,0.0,1.0,0.0,5.264863990288817,2.9090844668283187,12.424974849069113,154.0,0.6762481299787997,2.0433721367687,2.5713777542571687,0.4071053300567748,0.6702786377708979,0.7675726802070888,False,0,Kavya Ghosh,21,Female,Pune,2020-05-18,10,0,4.84,10.0,2020,5,18,0,0,Medium,9.61,168.805,2310,0.0,Zone_5,2590,1.31,43.9,Business,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,1.0
T00033,R0083,Zone_10,5.41,34.07,133.62,Cash,2024-04-19,0,-0.011463426051529401,-0.6374929129948075,34.07,2024,4,19,4,0.0,0.0,0.0,4.902455994582567,1.8578592709325787,5.836951259004995,34.0,-0.011466292983186459,-0.6376523460129297,-0.7732045445570901,0.2825396152868401,0.20859133126934987,0.168657905217045,False,1,Kavya Patel,45,Female,Mumbai,2021-12-31,475,39,4.4,475.0,2021,12,31,4,0,High,9.262,141.53300000000002,1718,0.08210526315789474,Zone_10,2440,1.54,35.4,Industrial,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,1.0
T00034,R0105,Zone_8,7.69,72.38,65.12,UPI,2024-06-21,1,-0.8124270211347949,-0.1252374690957156,72.38,2024,6,21,4,0.0,1.0,0.0,4.191471272952824,2.162172939277301,8.50764362206128,72.0,-0.812630204086861,-0.12526879020889647,0.2918020872073039,0.13742479450893993,0.29682662538699695,0.35936877737953005,False,1,Diya Das,31,Female,Jaipur,2020-09-28,346,9,3.69,346.0,2020,9,28,0,0,High,7.933333333333334,108.42666666666666,2177,0.02601156069364162,Zone_8,4516,1.93,31.0,Business,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,High,2.0
T00035,R0221,Zone_4,7.49,44.42,65.75,Credit Card,2023-08-15,1,-0.8050604946398686,-0.17017215715703946,44.42,2023,8,15,1,1.0,0.0,0.0,4.200954297280359,2.138889000323256,6.664833081180653,44.0,-0.8052618352694113,-0.17021471615661873,-0.4854776158501864,0.13875942716718923,0.28908668730650156,0.22018120270808442,False,1,Diya Patel,21,Female,Delhi,2021-01-13,106,1,4.41,106.0,2021,1,13,2,0,High,7.34125,114.16125,2070,0.009433962264150943,Zone_4,4038,2.46,48.2,Business,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00036,R0081,Zone_1,6.59,49.9,125.55,Credit Card,2023-07-29,0,-0.10582512258177698,-0.37237825343299685,49.9,2023,7,29,5,1.0,0.0,0.0,4.840637486991133,2.0268315914075385,7.063993204979744,50.0,-0.10585158878766325,-0.3724713829213687,-0.3331352420034394,0.2654436064740276,0.25425696594427244,0.2474611708482676,False,1,Diya Reddy,42,Other,Mumbai,2022-01-31,114,2,3.9,114.0,2022,1,31,0,2,High,8.82,135.345,1687,0.017543859649122806,Zone_1,4921,2.43,30.9,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00037,R0067,Zone_10,8.71,57.85,106.26,Cash,2024-06-07,1,-0.3313811481169038,0.1039294400170361,57.85,2024,6,7,4,0.0,0.0,0.0,4.675255793554779,2.2731562823032334,7.605918747922567,58.0,-0.33146402448386586,0.1039554321244869,-0.1121276011126293,0.22457842555715618,0.3363003095975233,0.28703703703703703,False,1,Saanvi Iyer,32,Male,Pune,2022-07-24,348,9,3.38,348.0,2022,7,24,6,1,High,8.697692307692307,141.93615384615384,1513,0.02586206896551724,Zone_10,2440,1.54,35.4,Industrial,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,1.0
T00038,R0026,Zone_1,10.71,65.12,172.96,Cash,2023-10-27,0,0.4485352284094293,0.5532763206302745,65.12,2023,10,27,4,0.0,0.0,0.0,5.158825387729438,2.460443177609626,8.069696400732806,65.0,0.4486474042842378,0.553414691601709,0.08997624156362098,0.3658800101686298,0.41369969040247684,0.3232277976901633,False,1,Aarav Kumar,26,Female,Surat,2020-04-17,44,5,3.17,44.0,2020,4,17,4,0,High,8.81,108.13222222222223,2341,0.11363636363636363,Zone_1,4921,2.43,30.9,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,2.0
T00039,R0077,Zone_5,14.7,144.74,322.96,Wallet,2024-03-07,1,2.2024701081538063,1.4497233474536848,144.74,2024,3,7,3,0.0,0.0,1.0,5.780620051380789,2.7536607123542622,12.030793822520607,145.0,2.2030209322484886,1.4500859142587668,2.303388614862526,0.6836496907041776,0.5681114551083591,0.719583831142971,False,0,Reyansh Das,28,Male,Mumbai,2019-09-07,406,72,3.79,406.0,2019,9,7,5,1,High,10.489999999999998,167.4157142857143,2564,0.17733990147783252,Zone_5,2590,1.31,43.9,Business,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,1.0
T00040,R0110,Zone_9,0.15,1.26,1.28,UPI,2024-08-15,1,-1.5589017059540018,-1.8192752090076245,1.26,2024,8,15,3,0.0,1.0,0.0,0.8241754429663494,0.1397619423751587,1.1224972160321824,1.0,-1.5592915775884464,-1.8197301984380236,-1.685312808409603,0.0021820184730107616,0.005030959752321981,0.005326563122262047,False,1,Vivaan Patel,19,Female,Kolkata,2023-02-04,224,28,4.43,224.0,2023,2,4,5,0,High,8.502857142857144,134.95571428571427,1318,0.125,Zone_9,11037,1.83,56.1,Mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,1.0
T00041,R0056,Zone_1,5.45,34.13,108.87,Cash,2024-02-24,0,-0.3008626812093516,-0.6285059753825426,34.13,2024,2,24,5,0.0,0.0,0.0,4.699297848712789,1.864080130807681,5.842088667591412,34.0,-0.3009379250972879,-0.6286631608233852,-0.7715365623616877,0.2301076179984747,0.21013931888544893,0.16895659099960175,False,1,Meera Patel,40,Other,Hyderabad,2021-02-26,93,13,3.25,93.0,2021,2,26,4,2,High,7.357777777777778,103.08777777777777,2026,0.13978494623655913,Zone_1,4921,2.43,30.9,Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,2.0
